cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp,selected_candidate_id,selection_fit_cell_count
MATR_B1C30,40,60,theil_all_a0p1,robust_local_trend,20,240,0.032564152066964107,0.03360434606240522,0.0010401939954411132,0.0029007236999011627,0.0057773750039525227,theil_all_a0p1,40
MATR_B1C32,40,60,theil_all_a0p1,robust_local_trend,20,240,0.036300744745117026,0.031388543832917469,-0.0049122009121995575,0.0050910950931385719,0.010139940434466865,theil_all_a0p1,40
MATR_B1C34,40,60,theil_all_a0p1,robust_local_trend,20,240,0.018557899824262532,0.02536558598850688,0.0068076861642443476,0.022286787931074661,0.044388623265210946,theil_all_a0p1,40
MATR_B1C36,40,60,theil_all_a0p1,robust_local_trend,20,240,0.064117617927492834,0.07630664357233255,0.012189025644839716,0.013229577714973847,0.026349366403267412,theil_all_a0p1,40
MATR_B1C38,40,60,theil_all_a0p1,robust_local_trend,20,240,0.1975987708806444,0.21604719732108221,0.018448426440437815,0.018695370826878686,0.037235593348140125,theil_all_a0p1,40
MATR_B1C40,40,60,theil_all_a0p25,robust_local_trend,20,240,0.045845574799864924,0.10575799253832319,0.059912417738458262,0.063831998248052288,0.12713427036956476,theil_all_a0p25,40
MATR_B1C42,40,60,theil_all_a0p1,robust_local_trend,20,240,0.12166192864977141,0.13245301694748116,0.01079108829770975,0.010913045516643689,0.0217355263402032,theil_all_a0p1,40
MATR_B1C44,40,60,theil_all_a0p1,robust_local_trend,20,240,0.085498741340224463,0.06944635364837376,-0.016052387691850703,0.017141219632549998,0.03414018847976763,theil_all_a0p1,40
MATR_B1C5,40,60,theil_all_a0p1,robust_local_trend,20,240,0.11648888414237461,0.13566576427860971,0.0191768801362351,0.019243548058037342,0.03832739862181711,theil_all_a0p1,40
MATR_B1C7,40,60,theil_all_a0p1,robust_local_trend,20,240,0.067743498554217699,0.060085110323908356,-0.0076583882303093431,0.0076833288877363364,0.01530289571001428,theil_all_a0p1,40
MATR_B2C0,40,60,theil_all_a0p1,robust_local_trend,20,240,4.2509818071813079,4.1281225323617603,-0.12285927481954761,0.12305027139878781,0.24507937871957733,theil_all_a0p1,40
MATR_B2C11,40,60,theil_all_a0p1,robust_local_trend,20,240,0.21348815434559279,0.2247664299731314,0.011278275627538609,0.011620626020678825,0.023144815310895586,theil_all_a0p1,40
MATR_B2C13,40,60,theil_all_a0p1,robust_local_trend,20,240,0.24502021881148886,0.25345531259043164,0.008435093778942776,0.011247062294522154,0.022400787972492255,theil_all_a0p1,40
MATR_B2C17,40,60,theil_all_a0p1,robust_local_trend,20,240,0.23136943571417562,0.16478846181397674,-0.066580973900198875,0.077577255776053733,0.15451071689836429,theil_all_a0p1,40
MATR_B2C19,40,60,theil_all_a0p1,robust_local_trend,20,240,1.0992755652189916,1.0341508106866952,-0.065124754532296381,0.065124754532296741,0.12970905467013458,theil_all_a0p1,40
MATR_B2C2,40,60,theil_all_a0p1,robust_local_trend,20,240,0.26194749043696591,0.25434552669361993,-0.0076019637433459852,0.0078971163106612025,0.015728696386379158,theil_all_a0p1,40
MATR_B2C21,40,60,theil_all_a0p1,robust_local_trend,20,240,0.15462082292202772,0.17329906014285104,0.018678237220823318,0.018974879692873047,0.037792291504477438,theil_all_a0p1,40
MATR_B2C23,40,60,theil_all_a0p1,robust_local_trend,20,240,0.69106579912190313,0.65765120495207319,-0.033414594169829948,0.033421528096820988,0.066565699114000301,theil_all_a0p1,40
