"candidate_id","model_id","family","reference_count","aggregation","mean_trajectory_mae_pp","median_trajectory_mae_pp","maximum_cell_prefix_mae_pp"
"pairwise_ridge_a10__k16__weighted_mean","pairwise_ridge_a10","ridge","16","weighted_mean","0.59924425454719832","0.32153838633596832","4.8501877378584757"
"pairwise_huber_fast__k4__weighted_mean","pairwise_huber_fast","huber","4","weighted_mean","0.59955853896900224","0.33368029560778206","5.1253192166438497"
"pairwise_ridge_a10__k8__weighted_median","pairwise_ridge_a10","ridge","8","weighted_median","0.60163346530506634","0.31896060942660326","4.7003186559456234"
"pairwise_ridge_a10__k4__weighted_mean","pairwise_ridge_a10","ridge","4","weighted_mean","0.6065047405983055","0.33968726642922464","4.9378755500492719"
"pairwise_ridge_a10__k4__weighted_median","pairwise_ridge_a10","ridge","4","weighted_median","0.61117181916738184","0.33975684072838974","4.7005508703921359"
"direct_ridge_a1","direct_ridge_a1","ridge","0","not_applicable","0.63360003256172093","0.36604579310521801","4.6130082647906123"
"fixed_neighbor_delta__k12__single_nearest","fixed_neighbor_delta","nonlearned_reference_baseline","12","single_nearest","0.63586474946057547","0.23935170407019035","6.0266017283947484"
"fixed_neighbor_delta__k16__single_nearest","fixed_neighbor_delta","nonlearned_reference_baseline","16","single_nearest","0.63586474946057547","0.23935170407019035","6.0266017283947484"
"fixed_neighbor_delta__k4__single_nearest","fixed_neighbor_delta","nonlearned_reference_baseline","4","single_nearest","0.63586474946057547","0.23935170407019035","6.0266017283947484"
"fixed_neighbor_delta__k8__single_nearest","fixed_neighbor_delta","nonlearned_reference_baseline","8","single_nearest","0.63586474946057547","0.23935170407019035","6.0266017283947484"
"pairwise_huber_fast__k12__single_nearest","pairwise_huber_fast","huber","12","single_nearest","0.6399224856511555","0.36009519589926753","4.9319946726108732"
"pairwise_huber_fast__k16__single_nearest","pairwise_huber_fast","huber","16","single_nearest","0.6399224856511555","0.36009519589926753","4.9319946726108732"
"pairwise_huber_fast__k4__single_nearest","pairwise_huber_fast","huber","4","single_nearest","0.6399224856511555","0.36009519589926753","4.9319946726108732"
"pairwise_huber_fast__k8__single_nearest","pairwise_huber_fast","huber","8","single_nearest","0.6399224856511555","0.36009519589926753","4.9319946726108732"
"pairwise_ridge_a10__k12__single_nearest","pairwise_ridge_a10","ridge","12","single_nearest","0.65615709023087343","0.37237874812810701","4.6980202835766915"
"pairwise_ridge_a10__k16__single_nearest","pairwise_ridge_a10","ridge","16","single_nearest","0.65615709023087343","0.37237874812810701","4.6980202835766915"
"pairwise_ridge_a10__k4__single_nearest","pairwise_ridge_a10","ridge","4","single_nearest","0.65615709023087343","0.37237874812810701","4.6980202835766915"
"pairwise_ridge_a10__k8__single_nearest","pairwise_ridge_a10","ridge","8","single_nearest","0.65615709023087343","0.37237874812810701","4.6980202835766915"
