cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp,selected_candidate_id,selection_fit_cell_count
MATR_B2C43,20,40,offset_median_all_a0p25,robust_offset,20,260,0.13891055620317658,0.1220369137959836,-0.016873642407192982,0.017532195651886795,0.017532195651886795,offset_median_all_a0p25,40
MATR_B2C45,20,40,offset_median_all_a0p25,robust_offset,20,260,0.047209627534841904,0.050508703252877644,0.0032990757180357405,0.0051960052395738643,0.0051960052395738643,offset_median_all_a0p25,40
MATR_B2C6,20,40,offset_median_all_a0p25,robust_offset,20,260,0.82199421818665785,0.79958542701889479,-0.022408791167763065,0.024123614789870018,0.024123614789870018,offset_median_all_a0p25,40
MATR_B1C1,40,60,no_update,no_update,20,240,0.064164002622795258,0.064164002622795258,0,0,0,no_update,40
MATR_B1C11,40,60,no_update,no_update,20,240,0.027939337513746606,0.027939337513746606,0,0,0,no_update,40
MATR_B1C15,40,60,no_update,no_update,20,240,0.060860867659238357,0.060860867659238357,0,0,0,no_update,40
MATR_B1C17,40,60,no_update,no_update,20,240,0.55089986886203024,0.55089986886203024,0,0,0,no_update,40
MATR_B1C19,40,60,no_update,no_update,20,240,0.054686490606001094,0.054686490606001094,0,0,0,no_update,40
MATR_B1C21,40,60,no_update,no_update,20,240,0.40372996709829129,0.40372996709829129,0,0,0,no_update,40
MATR_B1C24,40,60,no_update,no_update,20,240,0.14124731315217284,0.14124731315217284,0,0,0,no_update,40
MATR_B1C26,40,60,no_update,no_update,20,240,0.056202986154172525,0.056202986154172525,0,0,0,no_update,40
MATR_B1C28,40,60,no_update,no_update,20,240,0.044126399680058687,0.044126399680058687,0,0,0,no_update,40
MATR_B1C3,40,60,no_update,no_update,20,240,0.026482712901649504,0.026482712901649504,0,0,0,no_update,40
MATR_B1C30,40,60,no_update,no_update,20,240,0.032564152066964107,0.032564152066964107,0,0,0,no_update,40
MATR_B1C32,40,60,no_update,no_update,20,240,0.036300744745117026,0.036300744745117026,0,0,0,no_update,40
MATR_B1C34,40,60,no_update,no_update,20,240,0.018557899824262532,0.018557899824262532,0,0,0,no_update,40
MATR_B1C36,40,60,no_update,no_update,20,240,0.064117617927492834,0.064117617927492834,0,0,0,no_update,40
MATR_B1C38,40,60,no_update,no_update,20,240,0.1975987708806444,0.1975987708806444,0,0,0,no_update,40
MATR_B1C40,40,60,no_update,no_update,20,240,0.045845574799864924,0.045845574799864924,0,0,0,no_update,40
