cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp
MATR_B3C35,40,60,no_update,no_update,20,240,0.21431506778244316,0.21431506778244316,0,0,0
MATR_B3C36,40,60,no_update,no_update,20,240,0.18400770840535371,0.18400770840535371,0,0,0
MATR_B3C38,40,60,no_update,no_update,20,240,0.27310107980125459,0.27310107980125459,0,0,0
MATR_B3C39,40,60,no_update,no_update,20,240,0.12905180180919332,0.12905180180919332,0,0,0
MATR_B3C4,40,60,no_update,no_update,20,240,0.18084324064161633,0.18084324064161633,0,0,0
MATR_B3C40,40,60,no_update,no_update,20,240,0.083109833291930002,0.083109833291930002,0,0,0
MATR_B3C41,40,60,no_update,no_update,20,240,0.138954724581311,0.138954724581311,0,0,0
MATR_B3C44,40,60,no_update,no_update,20,240,0.1760521480481462,0.1760521480481462,0,0,0
MATR_B3C45,40,60,no_update,no_update,20,240,0.34810526976438921,0.34810526976438921,0,0,0
MATR_B3C5,40,60,no_update,no_update,20,240,0.20361977248271318,0.20361977248271318,0,0,0
MATR_B3C6,40,60,no_update,no_update,20,240,0.54686278654510856,0.54686278654510856,0,0,0
MATR_B3C7,40,60,no_update,no_update,20,240,0.34647959977342141,0.34647959977342141,0,0,0
MATR_B3C8,40,60,no_update,no_update,20,240,0.11025521674417019,0.11025521674417019,0,0,0
MATR_B3C9,40,60,no_update,no_update,20,240,0.28336378154596675,0.28336378154596675,0,0,0
MATR_B1C0,60,100,no_update,no_update,40,200,0.401509406288235,0.401509406288235,0,0,0
MATR_B1C14,60,100,no_update,no_update,40,200,0.013499194102152643,0.013499194102152643,0,0,0
MATR_B1C16,60,100,no_update,no_update,40,200,0.063039958919927988,0.063039958919927988,0,0,0
MATR_B1C2,60,100,no_update,no_update,40,200,0.013978672235441962,0.013978672235441962,0,0,0
MATR_B1C20,60,100,no_update,no_update,40,200,0.32678567127293995,0.32678567127293995,0,0,0
MATR_B1C23,60,100,no_update,no_update,40,200,0.01612140436139441,0.01612140436139441,0,0,0
MATR_B1C25,60,100,no_update,no_update,40,200,0.071455542308435802,0.071455542308435802,0,0,0
MATR_B1C27,60,100,no_update,no_update,40,200,0.04123104777268452,0.04123104777268452,0,0,0
MATR_B1C29,60,100,no_update,no_update,40,200,0.04029715542762375,0.04029715542762375,0,0,0
MATR_B1C31,60,100,no_update,no_update,40,200,0.030562773161731796,0.030562773161731796,0,0,0
MATR_B1C33,60,100,no_update,no_update,40,200,0.042220812217551112,0.042220812217551112,0,0,0
MATR_B1C35,60,100,no_update,no_update,40,200,0.056710535100577032,0.056710535100577032,0,0,0
MATR_B1C37,60,100,no_update,no_update,40,200,0.11537746637036569,0.11537746637036569,0,0,0
MATR_B1C39,60,100,no_update,no_update,40,200,0.043757279729208134,0.043757279729208134,0,0,0
