previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,physical_cell_count,mean_base_trajectory_mae_pp,mean_updated_trajectory_mae_pp,mean_delta_mae_pp,fraction_cells_improved,p90_cell_delta_mae_pp,eligible
40,60,offset_last_residual_a1p0,robust_offset,41,0.30547823607127428,0.30059311400269723,-0.0048851220685771374,0.48780487804878048,0.019971594523794781,False
40,60,offset_median_last_10_a1p0,robust_offset,41,0.30547823607127428,0.30084423164422514,-0.0046340044270491848,0.56097560975609762,0.019541753138575049,False
40,60,offset_median_last_5_a1p0,robust_offset,41,0.30547823607127428,0.30094938247923175,-0.0045288535920425706,0.51219512195121952,0.018585323951036264,False
40,60,offset_last_residual_a0p75,robust_offset,41,0.30547823607127428,0.301154060062026,-0.0043241760092483632,0.48780487804878048,0.014794414355411345,False
40,60,offset_median_last_10_a0p75,robust_offset,41,0.30547823607127428,0.30149803149295401,-0.003980204578320351,0.56097560975609762,0.014111358247822156,False
40,60,offset_median_last_5_a0p75,robust_offset,41,0.30547823607127428,0.30155526267441218,-0.0039229733968621245,0.51219512195121952,0.013791127178653655,False
40,60,offset_median_all_a1p0,robust_offset,41,0.30547823607127428,0.30211389276558354,-0.0033643433056908196,0.46341463414634149,0.014268365526950072,False
40,60,offset_last_residual_a0p5,robust_offset,41,0.30547823607127428,0.30212194317221575,-0.0033562928990586369,0.48780487804878048,0.0098449499066418922,False
40,60,offset_median_last_10_a0p5,robust_offset,41,0.30547823607127428,0.30246297538242084,-0.0030152606888534639,0.56097560975609762,0.0089741555527465267,False
40,60,offset_median_last_5_a0p5,robust_offset,41,0.30547823607127428,0.30248944461598654,-0.0029887914552877899,0.51219512195121952,0.0085365529440797616,False
40,60,offset_median_all_a0p75,robust_offset,41,0.30547823607127428,0.30266712837901705,-0.0028111076922572855,0.46341463414634149,0.010309899648059451,False
40,60,offset_median_all_a0p5,robust_offset,41,0.30547823607127428,0.30342480659605048,-0.0020534294752238718,0.46341463414634149,0.0066431110733245619,False
40,60,offset_last_residual_a0p25,robust_offset,41,0.30547823607127428,0.30355389019459811,-0.0019243458766762134,0.48780487804878048,0.0048954854578724394,False
40,60,offset_median_last_10_a0p25,robust_offset,41,0.30547823607127428,0.3038005267907386,-0.001677709280535741,0.6097560975609756,0.0042821278126423806,False
40,60,offset_median_last_5_a0p25,robust_offset,41,0.30547823607127428,0.30380813666946821,-0.0016700994018062029,0.53658536585365857,0.0040197064263373661,False
40,60,gp_matern32_l0p4,fixed_gaussian_process,41,0.30547823607127428,0.30430915514711315,-0.0011690809241612342,0.3902439024390244,0.028142186196527696,False
40,60,offset_median_all_a0p25,robust_offset,41,0.30547823607127428,0.30437522169168224,-0.0011030143795921657,0.48780487804878048,0.0032042605156974019,False
40,60,no_update,no_update,41,0.30547823607127428,0.30547823607127428,0,0,0,False
40,60,gp_matern32_l0p2,fixed_gaussian_process,41,0.30547823607127428,0.30569193171997833,0.00021369564870396719,0.31707317073170732,0.0091894085640603848,False
40,60,gp_matern32_l0p1,fixed_gaussian_process,41,0.30547823607127428,0.30569909893796843,0.00022086286669413882,0.41463414634146339,0.0027643227403455484,False
60,100,offset_median_last_10_a1p0,robust_offset,41,0.24359906485841418,0.22321833287548543,-0.020380731982928741,0.53658536585365857,0.020208036294458442,False
60,100,offset_median_last_5_a1p0,robust_offset,41,0.24359906485841418,0.2235368774463421,-0.02006218741207209,0.48780487804878048,0.02582492383100829,False
60,100,offset_last_residual_a1p0,robust_offset,41,0.24359906485841418,0.22586353662923794,-0.017735528229176224,0.48780487804878048,0.028448297296474134,False
60,100,offset_median_last_5_a0p75,robust_offset,41,0.24359906485841418,0.22600902413937016,-0.017590040719043968,0.48780487804878048,0.015224674705019092,False
60,100,offset_median_last_10_a0p75,robust_offset,41,0.24359906485841418,0.22615155078753216,-0.017447514070882009,0.53658536585365857,0.015074852504756819,False
60,100,offset_last_residual_a0p75,robust_offset,41,0.24359906485841418,0.22762143940715765,-0.015977625451256493,0.48780487804878048,0.019671250432924975,False
60,100,offset_median_last_5_a0p5,robust_offset,41,0.24359906485841418,0.22999584519303859,-0.013603219665375544,0.51219512195121952,0.010149783136679247,False
60,100,offset_median_last_10_a0p5,robust_offset,41,0.24359906485841418,0.23039065886124935,-0.013208405997164803,0.56097560975609762,0.0099660726653294784,False
60,100,offset_last_residual_a0p5,robust_offset,41,0.24359906485841418,0.23085963764239628,-0.012739427216017861,0.51219512195121952,0.013031964316955386,False
60,100,offset_median_all_a1p0,robust_offset,41,0.24359906485841418,0.23094294359405051,-0.012656121264363654,0.51219512195121952,0.013443781053867676,False
60,100,offset_median_all_a0p75,robust_offset,41,0.24359906485841418,0.23303202849350474,-0.010567036364909445,0.51219512195121952,0.010082835790402672,False
60,100,offset_median_all_a0p5,robust_offset,41,0.24359906485841418,0.23582772541343636,-0.0077713394449778067,0.51219512195121952,0.0057726370634566121,False
60,100,offset_median_last_5_a0p25,robust_offset,41,0.24359906485841418,0.23586531711091011,-0.0077337477475040309,0.51219512195121952,0.0045519958317272874,False
60,100,offset_last_residual_a0p25,robust_offset,41,0.24359906485841418,0.23612482837050394,-0.0074742364879102473,0.51219512195121952,0.0064289149600369189,False
60,100,offset_median_last_10_a0p25,robust_offset,41,0.24359906485841418,0.23621714046349335,-0.007381924394920786,0.56097560975609762,0.0040840463005522576,False
60,100,gp_matern32_l0p4,fixed_gaussian_process,41,0.24359906485841418,0.23659518312371522,-0.0070038817346989553,0.43902439024390244,0.031056543789963642,False
60,100,offset_median_all_a0p25,robust_offset,41,0.24359906485841418,0.23931450353406949,-0.0042845613243446242,0.53658536585365857,0.0028480875194311916,False
60,100,no_update,no_update,41,0.24359906485841418,0.24359906485841418,0,0,0,False
60,100,gp_matern32_l0p2,fixed_gaussian_process,41,0.24359906485841418,0.24571814665328665,0.0021190817948725082,0.29268292682926828,0.013557592196627943,False
60,100,gp_matern32_l0p1,fixed_gaussian_process,41,0.24359906485841418,0.24717694332834814,0.0035778784699339295,0.24390243902439024,0.011257362891650691,False
