cell_id,previous_prefix_cycle,current_prefix_cycle,future_row_count,previous_trajectory_mae_pp,current_trajectory_mae_pp,delta_mae_pp
MATR_B2C39,20,40,260,0.30406872287045178,0.053962899749796324,-0.25010582312065543
MATR_B2C4,20,40,260,0.29291680108888318,0.34542316655869471,0.052506365469811522
MATR_B2C41,20,40,260,0.52070090356664467,0.38268922618343776,-0.13801167738320691
MATR_B2C43,20,40,260,0.57501598799541764,0.13891055620317658,-0.43610543179224104
MATR_B2C45,20,40,260,0.07029061083663056,0.047209627534841904,-0.023080983301788656
MATR_B2C6,20,40,260,1.6772944739877844,0.82199421818665785,-0.85530025580112656
MATR_B1C1,40,60,240,0.056704671964968277,0.064164002622795258,0.0074593306578269805
MATR_B1C11,40,60,240,0.024397182088065666,0.027939337513746606,0.0035421554256809401
MATR_B1C15,40,60,240,0.049677127690641497,0.060860867659238357,0.011183739968596861
MATR_B1C17,40,60,240,0.062916703171524618,0.55089986886203024,0.48798316569050559
MATR_B1C19,40,60,240,0.17493544121102775,0.054686490606001094,-0.12024895060502666
MATR_B1C21,40,60,240,0.84396897360848233,0.40372996709829129,-0.44023900651019104
MATR_B1C24,40,60,240,0.16164471308190323,0.14124731315217284,-0.020397399929730387
MATR_B1C26,40,60,240,0.038883179085582205,0.056202986154172525,0.01731980706859032
MATR_B1C28,40,60,240,0.1392534559837893,0.044126399680058687,-0.095127056303730612
MATR_B1C3,40,60,240,0.072872254961396266,0.026482712901649504,-0.046389542059746762
MATR_B1C30,40,60,240,0.02412639681728989,0.032564152066964107,0.008437755249674217
MATR_B1C32,40,60,240,0.014286939299565956,0.036300744745117026,0.022013805445551073
MATR_B1C34,40,60,240,0.13056321791628331,0.018557899824262532,-0.11200531809202077
MATR_B1C36,40,60,240,0.023007734297583581,0.064117617927492834,0.04110988362990925
MATR_B1C38,40,60,240,0.097030723380316,0.1975987708806444,0.1005680475003284
MATR_B1C40,40,60,240,0.039811842678266395,0.045845574799864924,0.0060337321215985298
MATR_B1C42,40,60,240,0.038462865679026535,0.12166192864977141,0.083199062970744864
MATR_B1C44,40,60,240,0.33115281877198732,0.085498741340224463,-0.24565407743176287
MATR_B1C5,40,60,240,0.075211516331537595,0.11648888414237461,0.041277367810837018
MATR_B1C7,40,60,240,0.026438911743630378,0.067743498554217699,0.041304586810587324
MATR_B2C0,40,60,240,4.721349559891431,4.2509818071813079,-0.4703677527101231
MATR_B2C11,40,60,240,0.23005140205138891,0.21348815434559279,-0.016563247705796119
MATR_B2C13,40,60,240,0.23402720032973784,0.24502021881148886,0.010993018481751021
MATR_B2C17,40,60,240,0.22427608422781448,0.23136943571417562,0.0070933514863611435
MATR_B2C19,40,60,240,1.7874019040221374,1.0992755652189916,-0.68812633880314578
MATR_B2C2,40,60,240,0.41764328702147435,0.26194749043696591,-0.15569579658450844
MATR_B2C21,40,60,240,0.06949560428209102,0.15462082292202772,0.085125218639936703
MATR_B2C23,40,60,240,0.8679996308979353,0.69106579912190313,-0.17693383177603217
MATR_B2C25,40,60,240,0.54790182092313722,0.50547737231156287,-0.04242444861157435
MATR_B2C27,40,60,240,0.46572864632859556,0.36897066194897038,-0.096757984379625184
MATR_B2C29,40,60,240,0.39263545921806575,0.2234489622420637,-0.16918649697600205
MATR_B2C31,40,60,240,0.048985576888002078,0.22277747652867461,0.17379189964067254
MATR_B2C33,40,60,240,0.65846645020218386,0.40540734841760229,-0.25305910178458157
MATR_B2C35,40,60,240,0.15565465856778876,0.066319089912165494,-0.089335568655623268
MATR_B2C37,40,60,240,0.37932549783788,0.085684619855385516,-0.2936408779824945
MATR_B2C39,40,60,240,0.057790758872200539,0.037329948792434092,-0.020460810079766446
MATR_B2C4,40,60,240,0.37344148502995372,0.26570402319791459,-0.10773746183203914
MATR_B2C41,40,60,240,0.41248045472728312,0.10885710849708155,-0.3036233462302016
MATR_B2C43,40,60,240,0.14844946467237705,0.026531201063212547,-0.1219182636091645
MATR_B2C45,40,60,240,0.049495435975642189,0.11205117839226161,0.062555742416619431
MATR_B2C6,40,60,240,0.88857995606686291,0.73156163482937486,-0.15701832123748805
MATR_B1C1,60,100,200,0.072272198917725919,0.015272746986010546,-0.056999451931715371
MATR_B1C11,60,100,200,0.030960249790292663,0.025372970837373075,-0.0055872789529195881
MATR_B1C15,60,100,200,0.069435257748070925,0.066659119260425323,-0.0027761384876456019
MATR_B1C17,60,100,200,0.64890117882035236,0.020693679898520115,-0.62820749892183225
MATR_B1C19,60,100,200,0.059068575853749368,0.039933877521312271,-0.019134698332437097
MATR_B1C21,60,100,200,0.47872734010613593,0.33366016873665749,-0.14506717136947844
MATR_B1C24,60,100,200,0.16495473842697017,0.066661887291639771,-0.0982928511353304
MATR_B1C26,60,100,200,0.062274709559536276,0.19725809373011458,0.13498338417057831
MATR_B1C28,60,100,200,0.050813197480900955,0.048017158345262698,-0.0027960391356382577
MATR_B1C3,60,100,200,0.027105369286596143,0.015533999001434253,-0.01157137028516189
MATR_B1C30,60,100,200,0.036628155269457494,0.070532207167319713,0.03390405189786222
MATR_B1C32,60,100,200,0.041418211660701726,0.011378142384698649,-0.030040069276003077
MATR_B1C34,60,100,200,0.019484888515689604,0.032743669833994744,0.01325878131830514
MATR_B1C36,60,100,200,0.074940115341077557,0.071403445869863164,-0.0035366694712143931
MATR_B1C38,60,100,200,0.22990148502924107,0.046714579981954073,-0.18318690504728699
MATR_B1C40,60,100,200,0.053792793880686321,0.017102463355051327,-0.036690330525634994
MATR_B1C42,60,100,200,0.14462009610592147,0.051546086478376052,-0.093074009627545418
MATR_B1C44,60,100,200,0.10176570779812216,0.08651913830275014,-0.015246569495372023
MATR_B1C5,60,100,200,0.13544600507703322,0.032472741853906015,-0.10297326322312721
MATR_B1C7,60,100,200,0.076818216028328695,0.024558758880006835,-0.052259457148321864
MATR_B2C0,60,100,200,5.0266602336483306,4.0553514012912846,-0.97130883235704601
MATR_B2C11,60,100,200,0.25298907972594015,0.30354209935398885,0.050553019628048701
MATR_B2C13,60,100,200,0.29177153680948836,0.34565201252327671,0.053880475713788345
MATR_B2C17,60,100,200,0.26483483665208879,0.16649652706804852,-0.098338309584040273
MATR_B2C19,60,100,200,1.2914518545659683,0.39668591731033848,-0.89476593725562981
MATR_B2C2,60,100,200,0.3081224618602566,0.21375919505575042,-0.094363266804506185
MATR_B2C21,60,100,200,0.18107569917310123,0.2231231775777337,0.042047478404632466
MATR_B2C23,60,100,200,0.81408990776106749,0.70265171311728947,-0.11143819464377802
MATR_B2C25,60,100,200,0.59496120277421016,0.053068381687329164,-0.54189282108688097
MATR_B2C27,60,100,200,0.43085585266507848,0.10246328014062243,-0.32839257252445603
MATR_B2C29,60,100,200,0.26089738683743818,0.093872113884813618,-0.16702527295262456
MATR_B2C31,60,100,200,0.26489088527916443,0.062003680328381987,-0.20288720495078244
MATR_B2C33,60,100,200,0.47295791202122955,0.2151114502920565,-0.25784646172917303
MATR_B2C35,60,100,200,0.077343494433294066,0.05823630525009605,-0.019107189183198016
MATR_B2C37,60,100,200,0.097979078249425977,0.17656570951255682,0.078586631263130841
MATR_B2C39,60,100,200,0.04184592939449331,0.05505877288868511,0.0132128434941918
MATR_B2C4,60,100,200,0.31297550591446383,0.46217325397049469,0.14919774805603087
MATR_B2C41,60,100,200,0.12664813715500572,0.21319275331089116,0.086544616155885434
MATR_B2C43,60,100,200,0.030171327471006749,0.1549750344609177,0.12480370698991096
MATR_B2C45,60,100,200,0.12813663622289384,0.12589729161187777,-0.0022393446110160753
MATR_B2C6,60,100,200,0.85192026414681787,0.53364665284187596,-0.31827361130494192
