cell_id,previous_prefix_cycle,current_prefix_cycle,future_row_count,previous_trajectory_mae_pp,current_trajectory_mae_pp,delta_mae_pp
MATR_B3C25,40,60,240,0.032104883157617434,0.28033151529491179,0.24822663213729435
MATR_B3C26,40,60,240,0.02050471318752738,0.11796960214533787,0.097464888957810497
MATR_B3C27,40,60,240,0.023003691143662054,0.11633431675688564,0.093330625613223583
MATR_B3C28,40,60,240,0.57688075454826826,0.34358541252920693,-0.23329534201906132
MATR_B3C29,40,60,240,0.15472043877834979,0.05304574437453103,-0.10167469440381877
MATR_B3C3,40,60,240,0.065483792846320374,0.27889425333649448,0.21341046049017409
MATR_B3C30,40,60,240,0.040419509061007733,0.13066356416450312,0.090244055103495383
MATR_B3C31,40,60,240,0.023871628820467984,0.29651058618275605,0.27263895736228805
MATR_B3C33,40,60,240,0.064089879929853905,0.12340190965512014,0.059312029725266238
MATR_B3C34,40,60,240,0.12373285509736895,0.24484455758205984,0.12111170248469089
MATR_B3C35,40,60,240,0.24144649003982621,0.21431506778244316,-0.027131422257383048
MATR_B3C36,40,60,240,0.18283991814709336,0.18400770840535371,0.0011677902582603594
MATR_B3C38,40,60,240,0.25130186749138617,0.27310107980125459,0.021799212309868421
MATR_B3C39,40,60,240,0.036419903413639966,0.12905180180919332,0.092631898395553358
MATR_B3C4,40,60,240,0.035249281714478248,0.18084324064161633,0.14559395892713808
MATR_B3C40,40,60,240,0.049850021542296001,0.083109833291930002,0.033259811749634001
MATR_B3C41,40,60,240,0.058103485963888701,0.138954724581311,0.0808512386174223
MATR_B3C44,40,60,240,0.16591350981422318,0.1760521480481462,0.010138638233923025
MATR_B3C45,40,60,240,0.89359689062647607,0.34810526976438921,-0.5454916208620868
MATR_B3C5,40,60,240,0.15330374867317317,0.20361977248271318,0.050316023809540006
MATR_B3C6,40,60,240,1.0818353359893658,0.54686278654510856,-0.53497254944425721
MATR_B3C7,40,60,240,0.19845051645342088,0.34647959977342141,0.14802908332000053
MATR_B3C8,40,60,240,0.055328475093743161,0.11025521674417019,0.054926741650427026
MATR_B3C9,40,60,240,0.24999032056126769,0.28336378154596675,0.033373460984699066
MATR_B1C0,60,100,200,0.72728776179046495,0.401509406288235,-0.32577835550222994
MATR_B1C14,60,100,200,0.082623169352267489,0.013499194102152643,-0.06912397525011485
MATR_B1C16,60,100,200,0.067206513140062818,0.063039958919927988,-0.0041665542201348299
MATR_B1C2,60,100,200,0.037977157519836095,0.013978672235441962,-0.023998485284394133
MATR_B1C20,60,100,200,0.59155306101277849,0.32678567127293995,-0.26476738973983854
MATR_B1C23,60,100,200,0.17665654495412447,0.01612140436139441,-0.16053514059273005
MATR_B1C25,60,100,200,0.04387043838796309,0.071455542308435802,0.027585103920472712
MATR_B1C27,60,100,200,0.046262708436938027,0.04123104777268452,-0.0050316606642535067
MATR_B1C29,60,100,200,0.01590248484000277,0.04029715542762375,0.02439467058762098
MATR_B1C31,60,100,200,0.13699197971873425,0.030562773161731796,-0.10642920655700246
MATR_B1C33,60,100,200,0.024542441091989817,0.042220812217551112,0.017678371125561296
MATR_B1C35,60,100,200,0.050500290839455599,0.056710535100577032,0.0062102442611214337
MATR_B1C37,60,100,200,0.13535512971329744,0.11537746637036569,-0.019977663342931745
MATR_B1C39,60,100,200,0.021110980857991492,0.043757279729208134,0.022646298871216643
MATR_B1C4,60,100,200,0.031257240559682625,0.043482107159113853,0.012224866599431228
MATR_B1C41,60,100,200,0.033329351386811298,0.034383644768789662,0.0010542933819783634
MATR_B1C43,60,100,200,0.063532218964736847,0.087476422060433379,0.023944203095696531
MATR_B1C45,60,100,200,0.13188867787875885,0.02875839604309597,-0.10313028183566289
MATR_B1C6,60,100,200,0.14414612558083653,0.034288994251424967,-0.10985713132941156
MATR_B1C9,60,100,200,0.24935950343636543,0.1778527759834872,-0.071506727452878227
MATR_B2C10,60,100,200,0.1463060926151484,0.29830364334734399,0.15199755073219559
MATR_B2C12,60,100,200,0.4004322141269856,0.44621912137995379,0.04578690725296819
MATR_B2C14,60,100,200,0.036771826244321418,0.1682770973078079,0.13150527106348647
MATR_B2C18,60,100,200,0.14520794147927313,0.0816582115064277,-0.063549729972845428
MATR_B2C20,60,100,200,0.10138197528548709,0.14825067527441518,0.046868699988928092
MATR_B2C22,60,100,200,0.19953249859462702,0.12734202113210585,-0.072190477462521163
MATR_B2C24,60,100,200,0.26540401597353985,0.087085736907368483,-0.17831827906617137
MATR_B2C26,60,100,200,0.073140102577200994,0.049792786366828282,-0.023347316210372712
MATR_B2C28,60,100,200,0.58810358690825248,0.43393683530868793,-0.15416675159956456
MATR_B2C3,60,100,200,2.1215406795723442,1.4619726766472967,-0.65956800292504747
MATR_B2C30,60,100,200,0.043696334333986613,0.11430081940326005,0.070604485069273443
MATR_B2C32,60,100,200,0.51251318998719442,0.1246655439851915,-0.38784764600200294
MATR_B2C34,60,100,200,0.4944520666372616,0.072770058055613027,-0.42168200858164856
MATR_B2C36,60,100,200,0.14524919272216516,0.067743256095886148,-0.077505936626279012
MATR_B2C38,60,100,200,0.094275453476198409,0.033507393741986746,-0.060768059734211663
MATR_B2C40,60,100,200,0.14161733817726868,0.16860775809639997,0.026990419919131287
MATR_B2C42,60,100,200,0.1891185241044962,0.070059049185882641,-0.11905947491861356
MATR_B2C44,60,100,200,0.30993885428777596,0.32753754732520307,0.017598693037427116
MATR_B2C46,60,100,200,0.085441084850825744,0.14796329433382369,0.062522209482997942
MATR_B2C47,60,100,200,0.4916343417746098,0.41827343449574594,-0.073360907278863852
MATR_B2C5,60,100,200,0.066081957473389533,0.032635826101856225,-0.033446131371533308
MATR_B3C0,60,100,200,0.25769034453457801,0.038147575183904013,-0.21954276935067399
MATR_B3C1,60,100,200,0.50834732311038788,0.024824504591908506,-0.48352281851847939
MATR_B3C10,60,100,200,0.36842743029213337,0.022815464067824677,-0.34561196622430868
MATR_B3C11,60,100,200,0.067768518057854762,0.016526613855738007,-0.051241904202116759
