paper_split,cell_id,prefix_cycle,model_id,trajectory_mae_pp,trajectory_rmse_pp,endpoint_absolute_error_pp
primary_test,MATR_B1C43,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.053866709632632313,0.063999609017730164,0.1019643776091641
primary_test,MATR_B1C43,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.087476422060433379,0.099303844515668885,0.16352574176181633
primary_test,MATR_B1C45,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.049419192044144619,0.075156213272921144,0.25748615282086007
primary_test,MATR_B1C45,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.071284529695653409,0.091927051396536105,0.24197698747930474
primary_test,MATR_B1C45,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.11444089061335276,0.13477086148083475,0.3259665043695037
primary_test,MATR_B1C45,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.02875839604309597,0.039063174819434852,0.12892002487868126
primary_test,MATR_B1C6,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.092162907176495168,0.099526122831110703,0.15210151504520297
primary_test,MATR_B1C6,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.21049924867745187,0.26914293694807012,0.61031618399140086
primary_test,MATR_B1C6,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.12242487621886683,0.14782225155075709,0.34640078595924706
primary_test,MATR_B1C6,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.034288994251424967,0.052235929034042713,0.17635085235023951
primary_test,MATR_B1C9,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.32698148519458847,0.40124459080088581,0.78139840524747228
primary_test,MATR_B1C9,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.15649506053680612,0.22889084223951203,0.59996487530062836
primary_test,MATR_B1C9,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.21090554601081302,0.27635154572669529,0.63632776614262809
primary_test,MATR_B1C9,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.1778527759834872,0.23369079708369511,0.57191394361153414
primary_test,MATR_B2C10,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.48265817630474206,0.95123130714895032,0.45982246086225587
