cell_id,target_condition_id,source_cell_number,storage_soc_fraction,method,mechanism_gate_ready,activation_component_selected,mean_route,fallback_reason,future_point_count,trajectory_iae_pp,trajectory_signed_bias_pp,point_mae_pp,final_true_retention_pct,final_predicted_retention_pct,final_error_pp,final_absolute_error_pp,prediction_state_sha256
GEISBAUER_LFP_CELL_071,GEISBAUER_LFP_T60_SOC20,71,0.20000000000000001,mechanism_gated_hierarchical_activation_offset_hybrid_v1,False,False,hierarchical_power_fallback,specialist_gate_not_ready,2,1.0936228213059067,-1.0936228213059067,1.0936228213059067,100.26682524093029,99.969142259186043,-0.29768298174424501,0.29768298174424501,61e080a6900b025dc1dbd84e44e40007fbf76afbdde9e56e2504dfbf10d552b7
GEISBAUER_LFP_CELL_071,GEISBAUER_LFP_T60_SOC20,71,0.20000000000000001,target_prefix_only_sqrt_time_v1,False,False,target_prefix_sqrt,not_applicable,2,1.0654632833215061,-1.0654632833215061,1.0654632833215061,100.26682524093029,100,-0.26682524093028803,0.26682524093028803,1f3ac1bc82fbf769723f0b439e5597c75ddda3b01f9b85d42c2bb5eb8b731df2
GEISBAUER_LFP_CELL_071,GEISBAUER_LFP_T60_SOC20,71,0.20000000000000001,target_prefix_persistence_day59_v1,False,False,target_prefix_persistence,not_applicable,2,1.9261180500993902,1.9261180500993902,1.9261180500993902,100.26682524093029,102.9915813334209,2.7247560924906082,2.7247560924906082,d14e6e972c9d277d32f214230d22ea6ae5efc1e72961339aefaeb051974414c8
GEISBAUER_LFP_CELL_072,GEISBAUER_LFP_T60_SOC20,72,0.20000000000000001,hierarchical_power_law_prefix_update_v2,False,False,hierarchical_power,not_applicable,2,1.5578786370354294,-1.5578786370354294,1.5578786370354294,100.62376380505759,99.974504251531286,-0.64925955352630638,0.64925955352630638,3ebf58c7c88b57f3730adbd3a51a3434f732ff6a84d8898df5679b0b98330159
GEISBAUER_LFP_CELL_072,GEISBAUER_LFP_T60_SOC20,72,0.20000000000000001,mechanism_gated_hierarchical_activation_offset_hybrid_v1,False,False,hierarchical_power_fallback,specialist_gate_not_ready,2,1.5578786370354294,-1.5578786370354294,1.5578786370354294,100.62376380505759,99.974504251531286,-0.64925955352630638,0.64925955352630638,c0ebbca8a346762c35b478b02f8e42a5b269d8af1563b410ed0b25524eed0a32
GEISBAUER_LFP_CELL_072,GEISBAUER_LFP_T60_SOC20,72,0.20000000000000001,target_prefix_only_sqrt_time_v1,False,False,target_prefix_sqrt,not_applicable,2,1.5345896815732729,-1.5345896815732729,1.5345896815732729,100.62376380505759,100,-0.62376380505759244,0.62376380505759244,6df660113de8024b1cae82fa7a73222c299428ce0ff9b7edeb40c6d689aad7c3
GEISBAUER_LFP_CELL_072,GEISBAUER_LFP_T60_SOC20,72,0.20000000000000001,target_prefix_persistence_day59_v1,False,False,target_prefix_persistence,not_applicable,2,2.2840618386945195,2.2840618386945195,2.2840618386945195,100.62376380505759,103.81865152026779,3.1948877152102,3.1948877152102,6e6a62540abda9d6dc26ce55d3430a2b10bcb71365165b6f19fd50afe3e59d07
GEISBAUER_LFP_CELL_083,GEISBAUER_LFP_T60_SOC50,83,0.5,hierarchical_power_law_prefix_update_v2,False,False,hierarchical_power,not_applicable,2,1.6993252435235107,1.0603004349711185,1.6993252435235107,97.200786991865073,99.960412670359702,2.7596256784946291,2.7596256784946291,e12dad6e7fc068d865af883dc817d2a105047b12c169ef4de8f4fe8986803330
GEISBAUER_LFP_CELL_083,GEISBAUER_LFP_T60_SOC50,83,0.5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,False,False,hierarchical_power_fallback,specialist_gate_not_ready,2,1.6993252435235107,1.0603004349711185,1.6993252435235107,97.200786991865073,99.960412670359702,2.7596256784946291,2.7596256784946291,a83ec64b4dd45028b566de14001d6b5b05c69eb132f5b8542979258c8fe407d9
GEISBAUER_LFP_CELL_083,GEISBAUER_LFP_T60_SOC50,83,0.5,target_prefix_only_sqrt_time_v1,False,False,target_prefix_sqrt,not_applicable,2,1.702224071350912,1.0969889367840153,1.702224071350912,97.200786991865073,100,2.7992130081349273,2.7992130081349273,4e0aed948f1036b507f690c8ac4ec157e6b46ac0f3d4585c9652f2f4dd5cb582
GEISBAUER_LFP_CELL_083,GEISBAUER_LFP_T60_SOC50,83,0.5,target_prefix_persistence_day59_v1,False,False,target_prefix_persistence,not_applicable,2,3.159524325426915,3.159524325426915,3.159524325426915,97.200786991865073,102.0625353886429,4.861748396777827,4.861748396777827,7c05cb0249616e76721fc7d03b210e0839992965d08c748b5f3076f17ff06ecc
GEISBAUER_LFP_CELL_084,GEISBAUER_LFP_T60_SOC50,84,0.5,hierarchical_power_law_prefix_update_v2,False,False,hierarchical_power,not_applicable,2,1.5293963252736944,0.30996408185347946,1.5293963252736944,98.130181511555804,99.969541918682978,1.8393604071271739,1.8393604071271739,0a6a94d1cd6433847225fc842246e1982c295f0df8b731b228c5440d2c695dbe
GEISBAUER_LFP_CELL_084,GEISBAUER_LFP_T60_SOC50,84,0.5,mechanism_gated_hierarchical_activation_offset_hybrid_v1,False,False,hierarchical_power_fallback,specialist_gate_not_ready,2,1.5293963252736944,0.30996408185347946,1.5293963252736944,98.130181511555804,99.969541918682978,1.8393604071271739,1.8393604071271739,dc541c55330808f0770ac9078928288d08056b133e713b875a5413a2d84a8f79
GEISBAUER_LFP_CELL_084,GEISBAUER_LFP_T60_SOC50,84,0.5,target_prefix_only_sqrt_time_v1,False,False,target_prefix_sqrt,not_applicable,2,1.531585848280713,0.33823264016348276,1.531585848280713,98.130181511555804,100,1.8698184884441957,1.8698184884441957,ecc674e42f7469e3dfbb4e80542e92341d74b6d9757a3447ce8668607afbc26f
GEISBAUER_LFP_CELL_084,GEISBAUER_LFP_T60_SOC50,84,0.5,target_prefix_persistence_day59_v1,False,False,target_prefix_persistence,not_applicable,2,3.3440110982380133,3.3440110982380133,3.3440110982380133,98.130181511555804,103.00577845807453,4.8755969465187263,4.8755969465187263,317a99d0fd4f4fa198b44a64f68fb0b0949a81bdfda7da121a0813b749d083c3
GEISBAUER_LFP_CELL_095,GEISBAUER_LFP_T60_SOC100,95,1,hierarchical_power_law_prefix_update_v2,False,False,hierarchical_power,not_applicable,2,9.0996134365222971,9.0996134365222971,9.0996134365222971,85.025191518249244,97.166017512058261,12.140825993809017,12.140825993809017,f87614670e3d765330034a5534df3dac5cd167c6eff6fd6fd696378e66f7653a
GEISBAUER_LFP_CELL_095,GEISBAUER_LFP_T60_SOC100,95,1,mechanism_gated_hierarchical_activation_offset_hybrid_v1,False,False,hierarchical_power_fallback,specialist_gate_not_ready,2,9.0996134365222971,9.0996134365222971,9.0996134365222971,85.025191518249244,97.166017512058261,12.140825993809017,12.140825993809017,42f410570c53fe0a0d83c93c2b35e913e7e432285601e290371a4efe5cadb14d
GEISBAUER_LFP_CELL_095,GEISBAUER_LFP_T60_SOC100,95,1,target_prefix_only_sqrt_time_v1,False,False,target_prefix_sqrt,not_applicable,2,8.9188969337385799,8.9188969337385799,8.9188969337385799,85.025191518249244,96.923325040549187,11.898133522299943,11.898133522299943,02ba4884b835faa5de347e69455bfc0a2e69bc0f400cc7144b4eef081454c852
GEISBAUER_LFP_CELL_095,GEISBAUER_LFP_T60_SOC100,95,1,target_prefix_persistence_day59_v1,False,False,target_prefix_persistence,not_applicable,2,9.7812619004300174,9.7812619004300174,9.7812619004300174,85.025191518249244,98.036962010360611,13.011770492111367,13.011770492111367,785e7db7304fbe32034abab7460cea0ca072cdf1fee93cd20ec2d6996e6ca258
