previous_prefix_cycle,current_prefix_cycle,gate_id,projection_scale,physical_cell_count,activation_count,activation_coverage,activation_precision,mean_base_trajectory_mae_pp,mean_gated_delta_mae_pp,active_p90_delta_mae_pp,active_maximum_delta_mae_pp,eligible
20,40,a0p5_d0p02_r0p5,0.5,41,10,0.24390243902439024,0.69999999999999996,0.35218217163047016,-0.027619923508372904,0.13069887116777709,0.2948068214839103,False
20,40,a0p5_d0p04_r0p0,0.5,41,8,0.1951219512195122,0.625,0.35218217163047016,-0.023783038879076658,0.16716730457136225,0.2948068214839103,False
20,40,a0p5_d0p04_r0p5,0.5,41,8,0.1951219512195122,0.625,0.35218217163047016,-0.023783038879076658,0.16716730457136225,0.2948068214839103,False
20,40,no_update,,41,0,0,,0.35218217163047016,0,,,False
40,60,a0p1_d0p01_r0p0,0.10000000000000001,41,12,0.29268292682926828,0.58333333333333337,0.30547823607127428,-0.0060259079399876472,0.019217621771074354,0.021123949986288082,False
40,60,a0p1_d0p01_r0p5,0.10000000000000001,41,7,0.17073170731707318,0.7142857142857143,0.30547823607127428,-0.006181544130885455,0.013425337872278984,0.021123949986288082,True
40,60,a0p1_d0p02_r0p0,0.10000000000000001,41,10,0.24390243902439024,0.69999999999999996,0.30547823607127428,-0.0063210739390974187,0.019469072178580415,0.021123949986288082,True
40,60,a0p1_d0p02_r0p5,0.10000000000000001,41,6,0.14634146341463414,0.83333333333333337,0.30547823607127428,-0.0063838107112823561,-3.3978496922881796e-05,0.021123949986288082,False
40,60,a0p1_d0p04_r0p0,0.10000000000000001,41,5,0.12195121951219512,0.80000000000000004,0.30547823607127428,-0.0058669349312790919,0.002047895947924365,0.021123949986288082,False
40,60,a0p1_d0p04_r0p5,0.10000000000000001,41,5,0.12195121951219512,0.80000000000000004,0.30547823607127428,-0.0058669349312790919,0.002047895947924365,0.021123949986288082,False
40,60,a0p25_d0p01_r0p0,0.25,41,12,0.29268292682926828,0.58333333333333337,0.30547823607127428,-0.010104448860362932,0.049242493420837377,0.05663060025564863,False
40,60,a0p25_d0p01_r0p5,0.25,41,7,0.17073170731707318,0.7142857142857143,0.30547823607127428,-0.010734532153765287,0.035555874077476901,0.05663060025564863,False
