cell_id,previous_prefix_cycle,current_prefix_cycle,selected_gate_id,selection_fit_cell_count,activated,base_trajectory_mae_pp,updated_trajectory_mae_pp,raw_delta_mae_pp,gated_delta_mae_pp,matched_naive_history_slope_delta_mae_pp,history_theil_slope_pp_per_cycle,reissue_shift_theil_slope_pp_per_cycle,bounded_unassimilated_slope_pp_per_cycle,projected_unassimilated_change_pp,absolute_history_spearman,history_slope_sign_agreement,unassimilated_history_slope_sign_agreement
MATR_B2C2,20,40,a0p1_d0p01_r0p5,40,False,0.38809419418078606,0.38809419418078606,-0.017054824395648704,0,0,0.0014890572745192643,0.0028305892473040168,-0.0013415319727847525,0.026830639455695048,0.24210526315789471,True,False
MATR_B2C21,20,40,a0p1_d0p01_r0p5,40,True,0.065994996701829442,0.060033324464331517,-0.0059616722374979253,-0.0059616722374979253,-0.021873946041370773,-0.0036487008337360294,-0.0030436027628085675,-0.00060509807092746191,0.012101961418549238,0.74736842105263146,True,True
MATR_B2C23,20,40,a0p1_d0p01_r0p5,40,True,0.80502167128116842,0.78745527688871697,-0.017566394392451445,-0.017566394392451445,-0.051524977601829391,0.0039489724609349311,0.0026026505230628059,0.0013463219378721252,0.026926438757442502,0.80601503759398496,True,True
MATR_B2C25,20,40,a0p1_d0p01_r0p5,40,True,0.5091624182711878,0.42742522546820449,-0.081737192802983305,-0.081737192802983305,-0.052946136519272657,-0.0041075358044431933,0.0022335962981932227,-0.0063411321026364161,0.12682264205272831,0.86015037593984955,True,True
MATR_B2C27,20,40,a0p1_d0p01_r0p5,40,False,0.43142363536572642,0.43142363536572642,-0.026550305609122138,0,0,0.0017772509663357048,0.0038163244756320106,-0.0020390735092963058,0.040781470185926115,0.81654135338345857,True,False
MATR_B2C29,20,40,a0p1_d0p01_r0p5,40,True,0.36395523521226347,0.33158930951071203,-0.032365925701551446,-0.032365925701551446,-0.062176144223755392,0.0047952318805091609,0.0023009278656178846,0.0024943040148912763,0.049886080297825527,0.9172932330827066,True,True
MATR_B2C31,20,40,a0p1_d0p01_r0p5,40,False,0.046996313515771743,0.046996313515771743,0.0010680593464088006,0,0,-2.6622117943908563e-05,-0.00016284620892338241,0.00013622409097947385,0.002724481819589477,0.016541353383458645,True,False
MATR_B2C33,20,40,a0p1_d0p01_r0p5,40,False,0.60951557107458387,0.60951557107458387,0.0051721886433795383,0,0,-0.0004556720946451562,-5.9125430550229414e-05,-0.00039654666409492679,0.0079309332818985352,0.19097744360902258,True,True
MATR_B2C35,20,40,a0p1_d0p01_r0p5,40,False,0.14573156670469486,0.14573156670469486,-0.0017233795253516204,0,0,0.0042136400487642334,0.0043470206157081616,-0.00013338056694392822,0.0026676113388785644,0.76842105263157878,True,False
MATR_B2C37,20,40,a0p1_d0p01_r0p5,40,False,0.35194107684858483,0.35194107684858483,-0.017900854985549219,0,0,0.0010748141751229972,-0.00031762114678836702,0.0013924353219113641,0.027848706438227282,0.4977443609022556,True,True
MATR_B2C39,20,40,a0p1_d0p01_r0p5,40,True,0.053962899749796324,0.03844777035026932,-0.015515129399527004,-0.015515129399527004,-0.015643818847185013,-0.0029178898716323183,7.6300281908269607e-05,-0.0029941901535405881,0.059883803070811759,0.90676691729323311,True,True
MATR_B2C4,20,40,a0p1_d0p01_r0p5,40,False,0.34542316655869471,0.34542316655869471,-0.026443467705317303,0,0,0.0016709716016117164,0.0041919651568494689,-0.0025209935552377525,0.05041987110475505,0.69924812030075179,True,False
