scenario,fold_id,target_condition_id,prefix_checkups,candidate_trajectory_iae_pp,candidate_future_point_mae_pp,final_true_retention_pct,candidate_final_predicted_retention_pct,candidate_final_error_pp,activation_gate_ready,comparator_trajectory_iae_pp,comparator_future_point_mae_pp,comparator_final_predicted_retention_pct,comparator_final_error_pp,ungated_target_trajectory_iae_pp,gated_hierarchical_trajectory_iae_pp,temperature_c,storage_soc_fraction,activation_component_selected,negative_loss_evidence,positive_time_observation_count,minimum_prefix_capacity_loss_pct,prefix_end_days,validation_horizon_days,training_support_days,time_extrapolation_ratio,future_checkup_count,fallback_reason,target_activation_fit_status,target_activation_fit_error,primary_vs_v2_delta_iae_pp,primary_vs_v2_relative_improvement_fraction,ungated_target_vs_v2_delta_iae_pp,gated_hierarchical_vs_v2_delta_iae_pp,candidate_final_absolute_error_pp,comparator_final_absolute_error_pp,horizon_to_prefix_time_ratio,is_primary_prefix,statistical_unit,independent_evidence_key,scenario_occurrence_count,duplicated_across_scenarios,candidate_error_rank_desc,candidate_error_top_quartile,temperature_outside_training_hull,selected_branch,gate_evidence_gap,risk_flags,trust_status,outcome_class,recommended_action,deployment_trusted,claim_allowed,claim_boundary
v3_soc_interpolation_at_40c,40c_intermediate_soc_v3_activation_development,NAUMANN_CAL_T40_SOC12.5,10,0.27137163795374231,0.23913534789318588,93.492343457609309,94.257525163369692,0.76518170576038358,True,2.1953555435544012,1.9862502803570221,88.835271542152839,-4.6570719154564699,0.27137163795374231,0.41210964154792029,40,0.125,True,True,9,-0.22097775775797851,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,none,fitted,none,-1.9239839056006589,0.87638829676109009,-1.9239839056006589,-1.783245902006481,0.76518170576038358,4.6570719154564699,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC12.5,2,True,2,False,False,target_activation_specialist,none,retrospective_post_hoc;condition_mean_not_cell_level;retrospective_improvement_signal;long_horizon_from_short_prefix;scenario_duplicate_not_independent_evidence,development_signal_requires_external_validation,retrospective_improvement,Freeze the rule and test an independent cell-level cohort before use.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=40,NAUMANN_CAL_T40_SOC12.5,10,0.27137163795374231,0.23913534789318588,93.492343457609309,94.257525163369692,0.76518170576038358,True,1.8353504867449639,1.6604172090121814,89.611717072039539,-3.8806263855697694,0.27137163795374231,0.51537698629869444,40,0.125,True,True,9,-0.22097775775797851,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,none,fitted,none,-1.5639788487912216,0.8521417898577911,-1.5639788487912216,-1.3199735004462694,0.76518170576038358,3.8806263855697694,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC12.5,2,True,10,False,False,target_activation_specialist,none,retrospective_post_hoc;condition_mean_not_cell_level;retrospective_improvement_signal;long_horizon_from_short_prefix;scenario_duplicate_not_independent_evidence,development_signal_requires_external_validation,retrospective_improvement,Freeze the rule and test an independent cell-level cohort before use.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=40,NAUMANN_CAL_T40_SOC75,10,0.21463838661132714,0.18529302860542146,89.421395176595354,90.009841604716357,0.5884464281210029,False,0.21463838661132714,0.18529302860542146,90.009841604716357,0.5884464281210029,0.2352200218435147,0.21463838661132714,40,0.75,False,False,9,1.1821038542727678,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,0.020581635232187562,0,0.5884464281210029,0.5884464281210029,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC75,1,False,11,False,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;ungated_specialist_would_regress,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=40,NAUMANN_CAL_T40_SOC62.5,10,0.19616442976935508,0.19132642498099472,90.289459200236124,90.086063050059252,-0.20339615017687152,False,0.19616442976935508,0.19132642498099472,90.086063050059252,-0.20339615017687152,0.091704147999414259,0.19616442976935508,40,0.625,False,False,9,0.59361047524483013,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.10446028176994082,0,0.20339615017687152,0.20339615017687152,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC62.5,2,True,12,False,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;scenario_duplicate_not_independent_evidence,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_soc_interpolation_at_40c,40c_intermediate_soc_v3_activation_development,NAUMANN_CAL_T40_SOC62.5,10,0.19585626255595193,0.19104090014972427,90.289459200236124,90.086611807528385,-0.20284739270773855,False,0.19585626255595193,0.19104090014972427,90.086611807528385,-0.20284739270773855,0.091704147999414259,0.19585626255595193,40,0.625,False,False,9,0.59361047524483013,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,-0.10415211455653767,0,0.20284739270773855,0.20284739270773855,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC62.5,2,True,3,False,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;scenario_duplicate_not_independent_evidence,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=40,NAUMANN_CAL_T40_SOC0,10,0.15594961641822838,0.14179418586440193,96.450765189228321,96.898843617844022,0.4480784286157018,True,0.37566906916574588,0.32703149655544339,95.512997528129489,-0.9377676610988317,0.15594961641822838,0.39278089616305595,40,0,True,True,9,-0.21036463202885611,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,none,fitted,none,-0.2197194527475175,0.58487501575642598,-0.2197194527475175,0.017111826997310065,0.4480784286157018,0.9377676610988317,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC0,1,False,13,False,False,target_activation_specialist,none,retrospective_post_hoc;condition_mean_not_cell_level;retrospective_improvement_signal;long_horizon_from_short_prefix;alternative_hierarchical_gate_regresses,development_signal_requires_external_validation,retrospective_improvement,Freeze the rule and test an independent cell-level cohort before use.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=25,NAUMANN_CAL_T25_SOC0,10,0.12376108583993173,0.11762587966875855,97.872716565331487,97.769047595058254,-0.10366897027323319,True,0.2763903501791905,0.24346206717235191,97.24583260037565,-0.62688396495583731,0.12376108583993173,0.069293617142458311,25,0,True,True,9,-0.20067206229330731,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,none,fitted,none,-0.15262926433925877,0.55222356439110687,-0.15262926433925877,-0.20709673303673221,0.10366897027323319,0.62688396495583731,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T25_SOC0,1,False,14,False,False,target_activation_specialist,none,retrospective_post_hoc;condition_mean_not_cell_level;retrospective_improvement_signal;long_horizon_from_short_prefix,development_signal_requires_external_validation,retrospective_improvement,Freeze the rule and test an independent cell-level cohort before use.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=10,NAUMANN_CAL_T10_SOC50,10,0.098195992736316795,0.090726834609431539,96.961247700532525,97.225341357301843,0.26409365676931884,False,0.098195992736316795,0.090726834609431539,97.225341357301843,0.26409365676931884,0.24306693173176602,0.098195992736316795,10,0.5,False,False,9,0.2740902474090916,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,0.14487093899544923,0,0.26409365676931884,0.26409365676931884,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T10_SOC50,1,False,15,False,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;ungated_specialist_would_regress,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=0,NAUMANN_CAL_T0_SOC50,10,0.067448158900130964,0.066947734861303163,97.235264460257468,97.638065156562888,0.40280069630541959,False,0.067448158900130964,0.066947734861303163,97.638065156562888,0.40280069630541959,0.2016705165907676,0.067448158900130964,0,0.5,False,False,9,0.15718212355885439,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,0.13422235769063662,0,0.40280069630541959,0.40280069630541959,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T0_SOC50,1,False,16,False,True,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;temperature_outside_training_convex_hull;ungated_specialist_would_regress,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_soc_interpolation_at_40c,40c_intermediate_soc_v3_activation_development,NAUMANN_CAL_T40_SOC87.5,10,0.037408190885290724,0.038904406630039148,87.381149771030991,87.343837829537435,-0.037311941493555878,False,0.037408190885290724,0.038904406630039148,87.343837829537435,-0.037311941493555878,0.041955021057161632,0.037408190885290724,40,0.875,False,False,9,1.6000446252988638,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,0.0045468301718709081,0,0.037311941493555878,0.037311941493555878,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC87.5,2,True,4,False,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;scenario_duplicate_not_independent_evidence;ungated_specialist_would_regress,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=40,NAUMANN_CAL_T40_SOC87.5,10,0.036264946207170058,0.038368451254898447,87.381149771030991,87.337691443659892,-0.043458327371098449,False,0.036264946207170058,0.038368451254898447,87.337691443659892,-0.043458327371098449,0.041955021057161632,0.036264946207170058,40,0.875,False,False,9,1.6000446252988638,136.94583333333333,885.04166666666652,136.94583333333333,6.462713359905071,25,gate_not_ready,fitted,none,0,0,0.0056900748499915735,0,0.043458327371098449,0.043458327371098449,6.462713359905071,True,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC87.5,2,True,17,False,False,hierarchical_v2_fallback,negative_loss_evidence_absent,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;scenario_duplicate_not_independent_evidence;ungated_specialist_would_regress,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=60,NAUMANN_CAL_T60_SOC0,5,15.527730796752881,13.948041043469718,88.497035210498524,55.974116300223642,-32.522918910274882,False,15.527730796752881,13.948041043469718,55.974116300223642,-32.522918910274882,9.8384441330413352,15.527730796752881,60,0,False,False,4,0.034173372207249003,29.504583333333333,885.04166666666652,29.504583333333333,29.996751917075027,30,gate_not_ready,fitted,none,0,0,-5.6892866637115453,0,32.522918910274882,32.522918910274882,29.996751917075027,False,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T60_SOC0,1,False,1,True,True,hierarchical_v2_fallback,insufficient_positive_time_observations,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark;temperature_outside_training_convex_hull,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=60,NAUMANN_CAL_T60_SOC50,5,8.2219726247297569,7.5269978667612119,79.95367388993796,65.129183889578428,-14.824490000359532,False,8.2219726247297569,7.5269978667612119,65.129183889578428,-14.824490000359532,7.9915586427322269,8.2219726247297569,60,0.5,False,False,4,1.4598327124386259,29.504583333333333,885.04166666666652,29.504583333333333,29.996751917075027,30,gate_not_ready,fitted,none,0,0,-0.23041398199752994,0,14.824490000359532,14.824490000359532,29.996751917075027,False,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T60_SOC50,1,False,2,True,True,hierarchical_v2_fallback,insufficient_positive_time_observations,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark;temperature_outside_training_convex_hull,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=40,NAUMANN_CAL_T40_SOC50,5,7.3075243187454602,6.5928105159754846,90.755118875206321,75.996685366944774,-14.758433508261547,False,7.3075243187454602,6.5928105159754846,75.996685366944774,-14.758433508261547,9.6729831631025291,7.3075243187454602,40,0.5,False,False,4,0.2398898831728217,29.504583333333333,885.04166666666652,29.504583333333333,29.996751917075027,30,gate_not_ready,fitted,none,0,0,2.365458844357069,0,14.758433508261547,14.758433508261547,29.996751917075027,False,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC50,1,False,3,True,False,hierarchical_v2_fallback,insufficient_positive_time_observations,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark;ungated_specialist_would_regress,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_unseen_temperature_level,temperature_c=60,NAUMANN_CAL_T60_SOC100,5,6.3757678722553868,5.8746403862528256,77.437244974309522,66.409798821559974,-11.027446152749548,False,6.3757678722553868,5.8746403862528256,66.409798821559974,-11.027446152749548,6.1434694303834689,6.3757678722553868,60,1,False,False,4,2.5641136998922605,29.504583333333333,885.04166666666652,29.504583333333333,29.996751917075027,30,gate_not_ready,fitted,none,0,0,-0.23229844187191784,0,11.027446152749548,11.027446152749548,29.996751917075027,False,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T60_SOC100,1,False,4,True,True,hierarchical_v2_fallback,insufficient_positive_time_observations,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark;temperature_outside_training_convex_hull,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
v3_soc_interpolation_at_40c,40c_intermediate_soc_v3_activation_development,NAUMANN_CAL_T40_SOC37.5,5,3.3956604438771274,3.0900732622525298,90.735839071610982,84.344136225713044,-6.3917028458979388,False,3.3956604438771274,3.0900732622525298,84.344136225713044,-6.3917028458979388,3.5860951171357147,3.3956604438771274,40,0.375,False,False,4,0.4276714502725838,29.504583333333333,885.04166666666652,29.504583333333333,29.996751917075027,30,gate_not_ready,fitted,none,0,0,0.19043467325858732,0,6.3917028458979388,6.3917028458979388,29.996751917075027,False,temperature_soc_condition_mean_trajectory,NAUMANN_CAL_T40_SOC37.5,2,True,1,True,False,hierarchical_v2_fallback,insufficient_positive_time_observations,retrospective_post_hoc;condition_mean_not_cell_level;specialist_not_activated;fallback_same_as_v2;long_horizon_from_short_prefix;top_quartile_absolute_error_within_scenario_landmark;scenario_duplicate_not_independent_evidence;ungated_specialist_would_regress,fallback_only_no_v3_evidence,exact_v2_fallback,Retain the V2 fallback and collect denser early condition-level data.,False,False,public retrospective condition-mean development only
