audit_family,scenario_id,removed_condition_id,mean_route,requested_coverage,calibration_condition_count,evaluation_condition_count,order_statistic_rank,multiplier,quantile_status,diagnostic_available_evaluation_count,diagnostic_covered_evaluation_count,diagnostic_coverage_fraction_among_available,all_evaluation_diagnostic_available,all_evaluation_simultaneously_covered,all_evaluation_available_and_covered,diagnostic_mean_width_pp,diagnostic_max_width_pp,diagnostic_interval_score_mean
exhaustive_six_of_ten_partition,partition_010_71057edaa9b6,,hierarchical_power_fallback,0.94999999999999996,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_011_831ca4de2990,,hierarchical_activation_residual,0.80000000000000004,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_011_831ca4de2990,,hierarchical_activation_residual,0.90000000000000002,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_011_831ca4de2990,,hierarchical_activation_residual,0.94999999999999996,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_011_831ca4de2990,,hierarchical_power_fallback,0.80000000000000004,4,4,4,2.1698424743004083,finite_order_statistic,4,4,1,True,True,True,1.8157853641670743,4.1087384001945395,1.8157853641670743
exhaustive_six_of_ten_partition,partition_011_831ca4de2990,,hierarchical_power_fallback,0.90000000000000002,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_011_831ca4de2990,,hierarchical_power_fallback,0.94999999999999996,4,4,5,,unavailable_finite_sample_full_physical_range,0,0,,False,,False,,,
exhaustive_six_of_ten_partition,partition_012_586807991cc0,,hierarchical_activation_residual,0.80000000000000004,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_012_586807991cc0,,hierarchical_activation_residual,0.90000000000000002,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
exhaustive_six_of_ten_partition,partition_012_586807991cc0,,hierarchical_activation_residual,0.94999999999999996,2,0,3,,unavailable_finite_sample_full_physical_range,0,0,,,,,,,
